K,n_features,layer,host_norm,forged_norm,norm_ratio,decoded_rel_err,decoded_cosine,via_host_kl
163,287,8,115.00942993164062,1018.9609375,8.859803392692674,8.48717212677002,0.4362913966178894,10.175285339355469
163,287,9,135.61497497558594,1040.026611328125,7.668965846252271,7.163794994354248,0.4350799322128296,10.493690490722656
163,287,10,164.9721221923828,1079.697998046875,6.544730004671829,5.7793049812316895,0.42540064454078674,11.231660842895508
163,287,11,233.67503356933594,1141.8541259765625,4.886504598009407,4.539634704589844,0.515034019947052,10.256562232971191
163,287,12,234.53164672851562,1476.258056640625,6.29449405755242,7.869460582733154,0.03764769434928894,2.5309293270111084
163,287,13,473.5535583496094,55.26152801513672,0.11669541288577734,1.0050748586654663,0.01085645891726017,10.205886840820312
211,523,0,4.716088771820068,10.219292640686035,2.166899974773403,0.5898938775062561,0.8070197105407715,1.2595887184143066
211,523,1,53.183753967285156,2783.88232421875,52.344599930482445,20.191177368164062,0.18326565623283386,15.077291488647461
211,523,2,61.528839111328125,2989.78857421875,48.59166233916962,19.60771942138672,0.23976299166679382,14.138972282409668
211,523,3,73.94725036621094,3270.906982421875,44.232976428782344,21.16668701171875,0.31763747334480286,12.444586753845215
211,523,4,79.68624877929688,3649.434326171875,45.79754201103801,23.449951171875,0.36394163966178894,11.434599876403809
211,523,5,84.9709243774414,3876.2939453125,45.61906291726305,24.5416316986084,0.3769379258155823,10.959539413452148
211,523,6,91.89250946044922,4096.44482421875,44.57865878591411,24.15547752380371,0.38838523626327515,10.768513679504395
211,523,7,101.00829315185547,4266.927734375,42.243340633032155,22.751291275024414,0.3955504298210144,10.914092063903809
211,523,8,115.00942993164062,4467.0048828125,38.84033583565801,20.660066604614258,0.4035295844078064,10.978607177734375
211,523,9,135.61497497558594,4686.55712890625,34.55781435457217,18.317642211914062,0.4178590178489685,10.775546073913574
211,523,10,164.9721221923828,4962.392578125,30.08018877479244,15.675247192382812,0.4251171350479126,10.911027908325195
211,523,11,233.67503356933594,5606.9033203125,23.99444747976819,12.591592788696289,0.48950761556625366,9.875175476074219
211,523,12,234.53164672851562,7762.21484375,33.096662868424005,21.49420928955078,0.0292088333517313,2.094480276107788
211,523,13,473.5535583496094,113.48509979248047,0.23964575451188577,1.0310083627700806,0.004807247314602137,16.69265365600586
